customer_id,frequency,monetary_total,monetary_avg,monetary_min,monetary_max,monetary_std,recency_days,first_purchase_days,customer_tenure_days,avg_days_between_purchases,is_one_time_buyer,unique_service_count,unique_service_category,unique_location,favorite_category,pct_spent_cosmetic,pct_spent_diagnostic,pct_spent_maintenance,pct_spent_repair,total_offer_received,total_opens,open_rate,total_clicks,click_rate,total_redemptions,redemption_rate,favorite_offer_type,redemptions_bundle,redemptions_credit,redemptions_discount,redemptions_free_service,redemptions_points,redemptions_referral,cluster
0003QF4K5R,6,563.45,93.91,71.07,148.42,31.15,42,818,776,129.3,0,3,3,3,Diagnostic,0.263,0.534,0.0,0.203,2,0,0.0,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,4
00060YH19I,7,495.69,70.81,59.72,94.57,11.83,64,1044,980,140.0,0,2,2,2,Diagnostic,0.0,0.809,0.191,0.0,6,5,0.833,3,0.5,0,0.0,Free Service,0.0,0.0,0.0,0.0,0.0,0.0,8
00065EMZQN,6,465.39,77.56,26.53,196.84,63.64,375,974,599,99.8,0,4,1,2,Maintenance,0.0,0.0,1.0,0.0,8,1,0.125,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,4
0007NQVGMA,2,257.48,128.74,113.37,144.11,21.74,711,737,26,13.0,0,1,1,2,Repair,0.0,0.0,0.0,1.0,5,2,0.4,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,6
0009897MR3,1,153.02,153.02,153.02,153.02,0.0,645,645,0,0.0,1,1,1,1,Maintenance,0.0,0.0,1.0,0.0,8,2,0.25,1,0.125,0,0.0,Discount,0.0,0.0,0.0,0.0,0.0,0.0,6
000ADHDI6R,6,587.79,97.96,53.14,156.77,43.47,172,1010,838,139.7,0,5,4,2,Repair,0.267,0.132,0.09,0.511,8,4,0.5,1,0.125,0,0.0,Discount,0.0,0.0,0.0,0.0,0.0,0.0,3
000B1CE7H1,2,334.49,167.24,162.58,171.91,6.6,477,608,131,65.5,0,1,1,1,Cosmetic,1.0,0.0,0.0,0.0,10,3,0.3,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,6
000DONDR1T,3,330.79,110.26,68.57,148.04,39.88,465,1018,553,184.3,0,2,1,2,Repair,0.0,0.0,0.0,1.0,10,6,0.6,2,0.2,1,0.1,Free Service,0.0,0.0,0.0,0.0,0.0,1.0,2
000E2U0J7I,4,586.04,146.51,80.23,190.4,47.43,91,1045,954,238.5,0,3,2,1,Repair,0.0,0.0,0.61,0.39,6,1,0.167,0,0.0,0,0.0,Bundle,0.0,0.0,0.0,0.0,0.0,0.0,1
000F36XT43,6,629.4,104.9,39.99,161.91,41.89,123,1016,893,148.8,0,4,3,2,Repair,0.257,0.0,0.064,0.679,4,2,0.5,1,0.25,1,0.25,Referral,0.0,0.0,0.0,0.0,0.0,1.0,2
